timestamp,symbol,open,high,low,close,volume,rsi,macd,macd_signal,bb_upper,bb_lower,sma_20,sma_50,pct_return,volatility,relative_volume,sentiment_score,news_count_window,avg_sentiment_window
2024-02-01 00:00:00,ARBUSDT,99.5,100.495,98.505,99.5,500,30,-0.005,-0.0025,101.49,97.51,99.0025,98.505,-0.005,0.005,1.3,0.22,2,0.18
2024-02-01 01:00:00,ARBUSDT,100.097,101.09797,99.09603,100.097,515,55,0.006,0.003,102.09894,98.09506,99.596515,99.09603,0.006,0.006,1.0,0.03,1,0.02
2024-02-01 02:00:00,ARBUSDT,100.697582,101.70455782,99.69060618,100.697582,530,55,0.006,0.003,102.71153364,98.68363036,100.19409409,99.69060618,0.006,0.006,1.0,0.03,1,0.02
2024-02-01 03:00:00,ARBUSDT,101.301767492,102.31478516692,100.28874981708,101.301767492,545,55,0.006,0.003,103.32780284184,99.27573214216,100.79525865454,100.28874981708,0.006,0.006,1.0,0.03,1,0.02
2024-02-01 04:00:00,ARBUSDT,100.79525865454,101.8032112410854,99.7873060679946,100.79525865454,560,55,-0.005,-0.0025,102.8111638276308,98.7793534814492,100.29128236126728,99.7873060679946,-0.005,0.005,1.0,0.03,1,0.02
2024-02-01 05:00:00,ARBUSDT,101.40003020646724,102.41403050853192,100.38602990440256,101.40003020646724,575,55,0.006,0.003,103.42803081059658,99.37202960233788,100.89303005543488,100.38602990440256,0.006,0.006,1.0,0.03,1,0.02
2024-02-01 06:00:00,ARBUSDT,102.00843038770604,103.0285146915831,100.988346083829,102.00843038770604,590,55,0.006,0.003,104.04859899546015,99.96826177995192,101.49838823576752,100.988346083829,0.006,0.006,1.0,0.03,1,0.02
2024-02-01 07:00:00,ARBUSDT,102.62048097003228,103.6466857797326,101.59427616033196,102.62048097003228,605,55,0.006,0.003,104.67289058943292,100.56807135063164,102.10737856518212,101.59427616033196,0.006,0.006,1.0,0.03,1,0.02
2024-02-01 08:00:00,ARBUSDT,102.10737856518212,103.12845235083394,101.0863047795303,102.10737856518212,620,55,-0.005,-0.0025,104.14952613648576,100.06523099387849,101.5968416723562,101.0863047795303,-0.005,0.005,1.0,0.03,1,0.02
2024-02-01 09:00:00,ARBUSDT,102.7200228365732,103.74722306493894,101.69282260820748,102.7200228365732,635,55,0.006,0.003,104.77442329330468,100.66562237984174,102.20642272239034,101.69282260820748,0.006,0.006,1.3,0.03,1,0.02
